Time,Total energy,Position,Velocity
644,0.9999997,0.6131506,-1.117180
645,0.9999997,0.6120328,-1.118406
646,0.9999997,0.6109138,-1.119629
647,0.9999997,0.6097935,-1.120849
648,0.9999997,0.6086721,-1.122068
649,0.9999997,0.6075494,-1.123284
650,0.9999997,0.6064255,-1.124498
651,0.9999997,0.6053004,-1.125710
652,0.9999997,0.6041741,-1.126919
653,0.9999997,0.6030466,-1.128126
654,0.9999997,0.6019178,-1.129331
655,0.9999997,0.6007879,-1.130534
656,0.9999997,0.5996568,-1.131734
657,0.9999997,0.5985244,-1.132933
658,0.9999997,0.5973909,-1.134129
659,0.9999997,0.5962562,-1.135322
660,0.9999997,0.5951203,-1.136514
661,0.9999997,0.5939832,-1.137703
662,0.9999997,0.5928449,-1.138889
663,0.9999997,0.5917054,-1.140074
664,0.9999997,0.5905647,-1.141256
665,0.9999997,0.5894229,-1.142436
666,0.9999997,0.5882798,-1.143614
667,0.9999997,0.5871356,-1.144789
668,0.9999997,0.5859903,-1.145963
669,0.9999997,0.5848437,-1.147133
670,0.9999997,0.5836960,-1.148302
