Size of array,Matrix Time
160,0.1150000E-3
161,0.1150000E-3
162,0.1150000E-3
163,0.1160000E-3
164,0.1160000E-3
165,0.1170000E-3
166,0.1170000E-3
167,0.1170000E-3
168,0.1180000E-3
169,0.1180000E-3
170,0.1180000E-3
171,0.1190000E-3
172,0.1190000E-3
173,0.1200000E-3
174,0.1200000E-3
175,0.1200000E-3
176,0.1210000E-3
177,0.1210000E-3
178,0.1210000E-3
179,0.1220000E-3
180,0.1220000E-3
181,0.1230000E-3
182,0.1240000E-3
183,0.1240000E-3
184,0.1250000E-3
185,0.1250000E-3
186,0.1250000E-3
187,0.1260000E-3
188,0.1260000E-3
189,0.1260000E-3
190,0.1270000E-3
191,0.1270000E-3
192,0.1270000E-3
193,0.1270000E-3
194,0.1270000E-3
195,0.1280000E-3
196,0.1280000E-3
197,0.1280000E-3
198,0.1290000E-3
199,0.1290000E-3
200,0.1300000E-3
201,0.1300000E-3
202,0.1300000E-3
203,0.1310000E-3
204,0.1310000E-3
205,0.1310000E-3
206,0.1320000E-3
207,0.1320000E-3
208,0.1330000E-3
209,0.1330000E-3
210,0.1330000E-3
211,0.1340000E-3
212,0.1340000E-3
213,0.1340000E-3
214,0.1350000E-3
215,0.1350000E-3
216,0.1360000E-3
217,0.1360000E-3
218,0.1360000E-3
219,0.1370000E-3
220,0.1370000E-3
221,0.1370000E-3
222,0.1380000E-3
223,0.1380000E-3
224,0.1380000E-3
225,0.1390000E-3
226,0.1390000E-3
227,0.1400000E-3
228,0.1400000E-3
229,0.1400000E-3
230,0.1410000E-3
231,0.1410000E-3
232,0.1410000E-3
233,0.1420000E-3
234,0.1420000E-3
235,0.1420000E-3
236,0.1430000E-3
237,0.1430000E-3
238,0.1440000E-3
239,0.1440000E-3
240,0.1440000E-3
241,0.1450000E-3
242,0.1450000E-3
243,0.1450000E-3
244,0.1460000E-3
245,0.1460000E-3
246,0.1470000E-3
247,0.1470000E-3
248,0.1470000E-3
249,0.1480000E-3
250,0.1480000E-3
251,0.1480000E-3
252,0.1490000E-3
253,0.1490000E-3
254,0.1490000E-3
255,0.1500000E-3
256,0.1500000E-3
257,0.1510000E-3
258,0.1520000E-3
259,0.1520000E-3
260,0.1530000E-3
261,0.1530000E-3
262,0.1530000E-3
263,0.1540000E-3
264,0.1540000E-3
265,0.1540000E-3
266,0.1550000E-3
267,0.1550000E-3
268,0.1550000E-3
269,0.1550000E-3
270,0.1550000E-3
271,0.1560000E-3
272,0.1560000E-3
273,0.1560000E-3
274,0.1570000E-3
275,0.1570000E-3
276,0.1570000E-3
277,0.1570000E-3
278,0.1570000E-3
279,0.1580000E-3
280,0.1580000E-3
281,0.1580000E-3
282,0.1590000E-3
283,0.1590000E-3
284,0.1590000E-3
285,0.1600000E-3
286,0.1600000E-3
287,0.1610000E-3
288,0.1610000E-3
289,0.1610000E-3
290,0.1620000E-3
291,0.1620000E-3
292,0.1620000E-3
293,0.1630000E-3
294,0.1630000E-3
295,0.1630000E-3
296,0.1640000E-3
297,0.1640000E-3
298,0.1650000E-3
299,0.1650000E-3
300,0.1650000E-3
301,0.1660000E-3
302,0.1660000E-3
303,0.1660000E-3
304,0.1670000E-3
